id,branch
0,Other
1,City Library
2,City Stack
3,Local Studies
4,Gosforth Library
5,Outer West Library
6,Newburn Library
7,East End Library
8,Kenton Library
9,West End Library
10,Fenham Library
11,High Heaton Library
12,City Stock Reserve
13,Denton Burn Library
14,ZZ Unused Library - for mapping - to review
15,Cruddas Park Library
16,Walker Library
17,Priority Services
18,Playgroup
19,Blakelaw Library
20,Newbiggin Hall Library
21,Stock Services
22,Business Intellectual Property Centre
23,Skills Hub
24,#N/A
