id,category
0,ADULT FICTION
1,ADULT NON FICTION
2,JUNIOR FICTION
3,JUNIOR SPOKEN WORD
4,SPOKEN WORD
5,LOCAL LENDING
6,PICTURE BOOKS
7,EARLY YEARS
8,READ ALONE
9,REFERENCE
10,JUNIOR NON FICTION
11,CLASSICS
12,SCIENCE FICTION
13,HORROR
14,CRIME
15,JUNIOR LARGE PRINT
16,LIFELONG LEARNING
17,TEENAGE NON FICTION
18,READING GROUP STOCK
19,POP
20,LARGE PRINT
21,TEENAGE FICTION
22,EXTREME FICTION
23,GRAPHIC NOVEL 16+
24,LANGUAGE CD
25,GRAPHIC NOVELS 13+
26,PLAYAWAY
27,SPOKEN WORD ON CD
28,WESTERNS
29,TWO WEEK LOAN
30,STAFF TOOLS
31,CASSETTES
32,ASIAN LANG FICTION
33,NEW STOCK
34,ROMANCE
35,HINDI FICTION
36,SEA AND WAR
37,LANGUAGE CASSETTES
38,OPEN LEARNING
39,PROJECT COLLECTION
40,MAGAZINES
41,CHINESE SUBSCRIPTI0N
42,FREE LOAN VIDEOS
43,JUNIOR FREE LOAN VID/DVD
44,MISCELLANEOUS
45,BIBS BOOKS
46,ASIAN LANG JUNIOR
47,LOCAL BANDS
48,FREE LOAN DVD
49,CHINESE NON FICTION
50,CHINESE JUNIOR
51,CHINESE FICTION
52,ASIAN LANG NONFICTION
53,HINDI NONFICTION
54,CHINESE PERIODICALS
55,ASIAN LANG PERIODICALS
56,JAZZ
57,CDs
58,JUNIOR RENTED VIDEO
59,CLASSICAL AND OPERA
60,ASIAN LANG SUBSCRIPTION
61,FOLK
62,FILM MUSICAL TV
63,VOCAL
64,WORLD
65,LIGHT
66,COUNTRY
67,MEMORY BOX
68,FAVOURITES DVDS
69,JUNIOR RENTED DVD
70,JIGSAWS
71,RENTAL VIDEO
72,MICROFICHE
73,BLUES
74,TOYS
75,WEEKLY RENTAL DVD
76,RENTAL BLU RAY
77,WEEKLY BOLLYWOOD DVD
78,NEWCASTLE COLLECTION
79,BOX SET RENTAL DVD
80,ONE WEEK LOAN
81,EMEDIA
