categoryId,branchId,renewals,price,issues
0,0,20340,22360.87,114544
0,1,80679,101715.46,166679
0,2,8419,19153.92,25691
0,3,1752,7468.84,5453
0,4,19707,31030.81,45277
0,5,386,892.2,1319
0,6,51,46.46,28
0,7,17310,35538.49,62299
0,8,8262,20186.59,23601
0,9,11273,26596.14,32292
0,10,1893,7693.4,5569
0,11,6269,15041.28,16141
0,12,19056,53419.69,47691
0,13,31,104.46,176
0,14,1107,5468.34,3648
0,15,8310,19997.84,24749
0,16,5480,15259.99,18508
0,17,11221,25257.98,33699
0,19,2181,7086.94,6440
0,20,3,9.99,5
0,21,2055,6379.44,6153
0,22,146,393.41,690
0,23,2696,9480.11,8924
0,24,199,659.9,933
0,25,213,192.77,247
0,26,242,665.61,487
0,27,2,61.92,15
0,30,30,100.89,78
0,31,0,0.0,53
0,32,136,235.04,6590
1,0,40560,72378.45,157331
1,1,419757,462969.67,605263
1,2,8458,15893.0,10376
1,3,3305,8836.95,4638
1,4,85786,77000.83,85110
1,5,18,1004.53,137
1,7,30277,41337.85,41542
1,8,13525,18185.62,12788
1,9,20015,25926.5,20439
1,10,611,1111.22,704
1,11,4664,11090.02,7642
1,12,22245,57238.27,29434
1,13,221,853.63,744
1,14,105,918.29,156
1,15,14359,22592.14,18121
1,16,4789,11479.39,7300
1,17,13178,22839.95,17091
1,18,0,0.0,51
1,19,2016,5274.73,2669
1,20,8990,20137.27,5933
1,21,918,2589.43,1325
1,22,219,291.67,243
1,23,3376,7227.58,5004
1,24,45,282.78,199
1,25,1432,592.55,672
1,26,53,108.94,66
1,27,24,75.93,25
1,28,1034,1566.42,647
1,29,10,91.97,28
1,30,2,20.0,2
1,31,0,2.2,30
1,32,4153,1022.7,63711
1,34,8,0.0,25
1,36,104,61.89,31
2,0,22,41.95,59
2,1,20920,18589.13,59825
2,2,2709,5313.55,12572
2,3,685,2772.83,2449
2,4,14373,14432.45,58783
2,5,101,177.1,87
2,6,3313,4907.77,3263
2,7,6411,9267.65,30573
2,8,2925,4248.78,12698
2,9,6950,8034.99,24699
2,10,466,2292.92,3154
2,11,954,3161.89,5138
2,14,0,3968.57,0
2,15,3865,6050.87,17396
